record_id,cow_id,age,milk_drop_percentage,body_temperature_c,activity_level,stress_level,days_since_last_healthy,health_condition
REC-0389,COW-389,7.7,17.4,39.4,3926,4.2,17,At Risk
REC-0390,COW-390,8.4,27.1,40.5,3045,8.4,9,Sick
REC-0391,COW-391,8.8,22.4,40,4963,6.3,14,At Risk
REC-0392,COW-392,3.2,1.7,38.7,5819,1,1,Healthy
REC-0393,COW-393,2.8,29,40.6,3132,8.2,12,Sick
REC-0394,COW-394,8.4,16.5,39.8,3946,5.9,3,At Risk
REC-0395,COW-395,8.9,8.4,39.1,5259,2.4,2,At Risk
REC-0396,COW-396,4.1,2.7,38.9,5444,1.1,0,Healthy
REC-0397,COW-397,5.9,29.1,40.6,3187,8.3,4,Sick
REC-0398,COW-398,7,14.8,39.6,4419,4.6,9,At Risk
REC-0399,COW-399,6.4,5.8,38.9,5606,1.7,1,Healthy
REC-0400,COW-400,7.1,7.1,38.9,5279,2.3,3,Healthy
REC-0401,COW-401,5.7,6,39.3,5636,2.7,2,At Risk
REC-0402,COW-402,6.6,0,38.4,6125,0,3,Healthy
REC-0403,COW-403,5.6,12.1,39.1,4847,2.4,1,At Risk
REC-0404,COW-404,5.6,14.9,39.8,4335,4.5,16,At Risk
REC-0405,COW-405,3.8,0,38.4,5811,0.1,2,Healthy
REC-0406,COW-406,5.4,11.2,39.4,5121,2.9,1,At Risk
REC-0407,COW-407,4.3,27.7,40.8,3299,8.2,16,Sick
REC-0408,COW-408,8.2,1.5,38.4,5358,0.4,1,Healthy
REC-0409,COW-409,3.4,13.4,39.3,4366,3.9,2,At Risk
REC-0410,COW-410,7.1,10.2,39.2,4907,3,0,At Risk
REC-0411,COW-411,8.7,27,40.9,3549,8.6,4,Sick
REC-0412,COW-412,5,2.4,38.6,5846,0.9,1,Healthy
REC-0413,COW-413,5.2,16.4,39.6,4943,4,6,At Risk
REC-0414,COW-414,6.8,16.6,39.7,4497,5,10,At Risk
REC-0415,COW-415,8.4,4.4,39.3,5683,1.7,1,At Risk
REC-0416,COW-416,2.9,34.5,40.6,3014,8.2,2,Sick
REC-0417,COW-417,5.2,29.9,40.4,2739,8.1,12,Sick
REC-0418,COW-418,6.7,13.5,39.7,4895,4.3,11,At Risk
REC-0419,COW-419,3,20.4,39.9,3705,5.9,6,At Risk
REC-0420,COW-420,8.1,5.7,38.9,5877,1,0,Healthy
REC-0421,COW-421,6.3,25.4,40.3,3643,7.1,9,Sick
REC-0422,COW-422,3.6,26.6,40.5,3055,7.6,5,Sick
REC-0423,COW-423,3.5,21.6,39.9,3331,6,20,At Risk
REC-0424,COW-424,8.9,3.9,38.6,5573,1.4,0,Healthy
REC-0425,COW-425,4,32.3,40.7,3008,9.6,21,Sick
REC-0426,COW-426,8.5,0.1,38.6,6247,0.2,1,Healthy
REC-0427,COW-427,3.5,3.9,38.8,5162,1.2,0,Healthy
REC-0428,COW-428,5.4,32,40.8,2966,9.8,13,Sick
REC-0429,COW-429,6.4,37.4,40.9,2531,9.7,23,Sick
REC-0430,COW-430,7.5,26.8,40.6,2964,8.3,2,Sick
REC-0431,COW-431,3.8,34,41.1,2626,9.7,13,Sick
REC-0432,COW-432,6.3,29.2,40.4,2544,8.2,5,Sick
REC-0433,COW-433,5.1,9.8,39.5,5606,3,1,At Risk
REC-0434,COW-434,3.8,31.3,40.6,2237,8.5,7,Sick
REC-0435,COW-435,6,18.6,40.2,3618,5.9,7,Sick
REC-0436,COW-436,8.2,28.3,40.4,3500,7.9,2,Sick
REC-0437,COW-437,5.5,4.5,38.9,5315,1.5,0,Healthy
REC-0438,COW-438,7.4,10.9,39.5,5423,3.8,1,At Risk
REC-0439,COW-439,5.9,34.8,40.7,3258,9.2,24,Sick
REC-0440,COW-440,8.9,23.6,40.3,4180,7.6,10,Sick
REC-0441,COW-441,7.7,2.4,38.6,5918,0,3,Healthy
REC-0442,COW-442,2.9,32.9,40.7,3133,9.7,8,Sick
REC-0443,COW-443,8.5,25.2,40.4,2956,6.9,2,Sick
REC-0444,COW-444,6.6,28.6,40.4,2916,8,11,Sick
REC-0445,COW-445,7.3,1.8,38.5,6267,0.1,2,Healthy
REC-0446,COW-446,2.8,30.9,40.2,3656,7.4,19,Sick
REC-0447,COW-447,2.5,18.5,40.1,2657,6.6,24,Sick
REC-0448,COW-448,3.2,3.8,38.6,5660,0.8,1,Healthy
REC-0449,COW-449,7,11.5,39.4,4216,3.5,0,At Risk
REC-0450,COW-450,7,19.4,39.7,4074,5.2,6,At Risk
REC-0451,COW-451,6.9,27,40.6,3523,7.9,5,Sick
REC-0452,COW-452,7.1,8.6,39.2,5681,2.8,4,At Risk
REC-0453,COW-453,4.4,34.9,41.1,2626,9.1,6,Sick
REC-0454,COW-454,6.1,20.1,39.8,4071,6,15,At Risk
REC-0455,COW-455,5.2,29.7,40.9,3265,8.9,10,Sick
REC-0456,COW-456,7.8,24.3,40.2,2824,6.8,6,Sick
REC-0457,COW-457,5.5,31.9,40.5,3491,8,22,Sick
REC-0458,COW-458,8.5,14.7,39.5,4443,5,13,At Risk
REC-0459,COW-459,8.2,0.7,38.8,6285,0.5,2,Healthy
REC-0460,COW-460,3.7,9.4,39,5439,2.8,3,Healthy
REC-0461,COW-461,8.3,0.9,38.6,5777,0,1,Healthy
REC-0462,COW-462,8.6,9.2,39.2,4808,2.7,4,At Risk
REC-0463,COW-463,8.1,19.2,39.4,5370,4.2,15,At Risk
REC-0464,COW-464,3.1,19.1,39.7,4127,5.6,8,At Risk
REC-0465,COW-465,6.6,5,38.9,5067,1.7,3,Healthy
REC-0466,COW-466,4.3,10,39.1,3914,3,3,At Risk
REC-0467,COW-467,5.6,1.8,38.7,6438,0.5,3,Healthy
REC-0468,COW-468,8.1,24.1,40,3660,6.3,5,At Risk
REC-0469,COW-469,4.9,11.9,39.4,4127,4.2,3,At Risk
REC-0470,COW-470,4.9,23.2,40.3,3331,6.8,4,Sick
REC-0471,COW-471,2.7,26.6,40.1,3624,6.5,20,Sick
REC-0472,COW-472,2.8,33.3,40.9,2351,8.9,7,Sick
REC-0473,COW-473,2.8,1.2,38.8,4988,1.1,2,Healthy
REC-0474,COW-474,7,14,39.5,4662,3.4,2,At Risk
REC-0475,COW-475,7.1,16.7,39.6,3822,4.9,4,At Risk
REC-0476,COW-476,4.2,3.2,38.7,5526,0.4,4,Healthy
REC-0477,COW-477,6.9,9.8,38.9,5327,2.7,1,Healthy
REC-0478,COW-478,3.3,14.3,39.3,5426,3.8,1,At Risk
REC-0479,COW-479,3.3,10.2,39.3,4741,2.9,2,At Risk
REC-0480,COW-480,6.7,11.2,39.1,4938,3,1,At Risk
REC-0481,COW-481,6.1,30.7,40.6,2989,9,6,Sick
REC-0482,COW-482,3.8,2.6,38.5,5988,0.7,4,Healthy
REC-0483,COW-483,8.6,28.5,40.6,3275,7.5,9,Sick
REC-0484,COW-484,8.9,27.8,40,3558,6.5,5,At Risk
REC-0485,COW-485,8.8,8.1,38.9,6069,2,1,Healthy
REC-0486,COW-486,6.5,32.8,41,1889,9.8,19,Sick
REC-0487,COW-487,6.6,30.2,40.8,2981,9.5,13,Sick
REC-0488,COW-488,8.3,25.2,40.4,3407,6.9,7,Sick
REC-0489,COW-489,2.6,7.8,38.9,5199,1.3,4,Healthy
REC-0490,COW-490,4.8,2.7,39.1,5870,0.8,0,At Risk
REC-0491,COW-491,8.5,17.7,39.9,3788,5.5,15,At Risk
REC-0492,COW-492,8.1,22.2,40.1,4102,6.7,11,Sick
REC-0493,COW-493,8.9,11.7,39.5,4603,3.9,4,At Risk
REC-0494,COW-494,8.7,33.1,40.9,2466,9.8,6,Sick
REC-0495,COW-495,3.9,20.5,39.9,4608,5.9,15,At Risk
REC-0496,COW-496,2.6,35.5,41,2195,9.1,13,Sick
REC-0497,COW-497,7,12.6,39.3,4917,3.9,4,At Risk
REC-0498,COW-498,4.1,32.8,40.3,3668,7.8,20,Sick
REC-0499,COW-499,6.2,18.7,40.2,3640,6,17,Sick
REC-0500,COW-500,8.5,0.1,38.7,5736,0.5,4,Healthy
